Customer ID,First Name,Last Name,Zip Code
C8270,Mary,Davis,33101
C1860,Mary,Martinez,90001
C6390,Barbara,Williams,85001
C6191,Linda,Johnson,19101
C6734,Robert,Rodriguez,85001
C7265,Linda,Johnson,80201
C1466,John,Garcia,85001
C5426,Elizabeth,Garcia,90001
C6578,Patricia,Brown,10001
C9322,William,Martinez,94101
C2685,Patricia,Brown,60601
C1769,Robert,Rodriguez,30301
C7949,John,Jones,90001
C3433,Patricia,Martinez,77001
C6311,James,Miller,94101
C6051,William,Miller,60601
C7420,Mary,Rodriguez,94101
C2184,William,Brown,90001
C5555,Patricia,Williams,80201
C4385,Robert,Garcia,10001
C7396,Robert,Rodriguez,60601
C9666,Barbara,Johnson,85001
C3558,William,Rodriguez,30301
C8849,Robert,Miller,80201
C3047,Barbara,Martinez,80201
C3747,Linda,Smith,94101
C1189,James,Rodriguez,10001
C3734,John,Jones,19101
C4005,John,Davis,30301
C5658,Linda,Martinez,80201
C2899,Barbara,Williams,10001
C8734,William,Davis,10001
C2267,Michael,Brown,80201
C2528,John,Johnson,30301
C4556,Linda,Davis,33101
C4890,Mary,Martinez,85001
C9838,Barbara,Williams,90001
C6393,Patricia,Johnson,10001
C9792,James,Rodriguez,94101
C9433,Mary,Smith,85001
C8513,John,Jones,80201
C3612,William,Martinez,90001
C8041,Michael,Williams,85001
C7235,Patricia,Rodriguez,33101
C6486,Patricia,Garcia,77001
C8099,James,Williams,10001
C1775,Michael,Rodriguez,33101
C9226,James,Williams,30301
C4152,Elizabeth,Rodriguez,60601
C2585,Mary,Rodriguez,85001
C4943,Michael,Jones,33101
C8555,Patricia,Miller,60601
C4073,Patricia,Miller,30301
C2021,Linda,Johnson,30301
C4843,Barbara,Brown,80201
C8989,William,Garcia,33101
C7873,Robert,Rodriguez,19101
C6675,Mary,Garcia,33101
C1161,William,Johnson,77001
C5297,Patricia,Davis,77001
C1995,William,Martinez,33101
C8629,William,Johnson,30301
C2016,Michael,Williams,19101
C8869,Linda,Garcia,90001
C7439,Michael,Johnson,60601
C8892,Robert,Johnson,19101
C7863,John,Jones,19101
C8916,James,Rodriguez,60601
C9529,Elizabeth,Williams,94101
C1878,Barbara,Brown,19101
C5887,John,Smith,94101
C5859,Mary,Martinez,90001
C7331,Robert,Williams,85001
C9571,William,Johnson,19101
C9684,Mary,Jones,33101
C8208,Linda,Smith,77001
C6276,Barbara,Davis,80201
C3062,Michael,Smith,60601
C1064,Mary,Williams,85001
C9006,Robert,Garcia,30301
C3568,Barbara,Rodriguez,60601
C6463,William,Williams,10001
C3027,Barbara,Johnson,85001
C3695,Barbara,Martinez,19101
C6258,James,Davis,77001
C6618,John,Jones,77001
C7736,Patricia,Martinez,90001
C1391,William,Martinez,77001
C6892,Robert,Rodriguez,19101
C4561,Linda,Garcia,19101
C7184,Elizabeth,Davis,80201
C4099,Michael,Rodriguez,10001
C7278,Mary,Brown,60601
C9392,John,Johnson,85001
C4104,William,Rodriguez,19101
C8215,William,Johnson,33101
C3454,William,Rodriguez,77001
C9996,Mary,Johnson,80201
C3731,Mary,Garcia,10001
